,gamma,mode,vmax,IL6max,Q,emax,v4,vtype
0,3.599999999999999,1,1395.017798892023,948.6116954744106,6.8735097745431855,37.52025208949863,2.571499620942663,SARS-CoV-2
1,3.599999999999999,1,43.71509814244072,690.2654009543553,8.067951878768222,22.384995896367364,2.843439468504135,SARS-CoV-2
2,3.599999999999999,1,25.511938656194015,737.5018142442415,7.9844662635872785,9.303720826476743,2.5504579852209783,SARS-CoV-2
3,3.599999999999999,1,14.770729133856058,772.1575670338369,7.934954891492061,13.65234987501256,2.650665350751281,SARS-CoV-2
4,3.599999999999999,1,31.423421206129007,915.7098517951772,7.700974157442471,35.25819747526965,2.5316605105418897,SARS-CoV-2
5,3.599999999999999,1,148.59523527796938,625.3673166823359,8.14970387008503,11.71132784335236,2.7746640806373843,SARS-CoV-2
6,3.599999999999999,1,47.00410340123468,664.358605033893,8.111810234856785,23.568789183155793,2.4835890039201036,SARS-CoV-2
7,3.599999999999999,1,115.0685676542848,588.4543077756948,8.227232935895929,15.174370995660837,2.561585054552895,SARS-CoV-2
8,3.599999999999999,1,75.5715817473159,704.9291049110988,8.035268565904364,24.48232717944542,2.6193139936303504,SARS-CoV-2
9,3.599999999999999,1,122.9950768235324,672.9775418484868,8.073809144519087,11.37168661012423,2.795108227192011,SARS-CoV-2
10,3.599999999999999,1,113.22262499280629,883.7638991945643,7.722723120968928,11.408474757380189,2.7172974902221587,SARS-CoV-2
11,3.599999999999999,1,23.160532338657188,743.5269146836665,7.982472496541388,23.832698099437042,2.6117994938057914,SARS-CoV-2
12,3.599999999999999,1,567.4063390471355,878.3388233762627,7.513291012052305,10.630674554666736,2.7111562788939194,SARS-CoV-2
13,3.599999999999999,1,16.392351983551205,779.0820485060865,7.921996120706478,9.282761388746701,2.7373918336370555,SARS-CoV-2
14,3.599999999999999,1,36.70266317528117,845.1166254172836,7.808515719214156,31.791920317145482,2.431419184720516,SARS-CoV-2
15,3.599999999999999,1,26.376305578430078,540.7477606987042,8.35891968219574,12.780936029888887,2.7108801529842936,SARS-CoV-2
16,3.599999999999999,1,27.981630085236166,758.320882875285,7.950044166411598,7.1685812868684025,2.488081114801814,SARS-CoV-2
17,3.599999999999999,1,109.06169774917976,844.4824136996664,7.773171039825573,7.645703830286327,2.6388425993455162,SARS-CoV-2
18,3.599999999999999,1,76.80275163210572,783.8816358927454,7.897888186648569,16.68238241307585,2.728983042373723,SARS-CoV-2
19,3.599999999999999,1,74.14705683647324,883.5714135966208,7.723598055024479,29.74317660289407,2.4163394746377374,SARS-CoV-2
20,3.599999999999999,1,11.650822709078112,831.0373890709275,7.838804519597034,18.601908011231615,2.545275720400964,SARS-CoV-2
21,3.599999999999999,1,35.63769730984175,819.9366245565617,7.851249717899265,14.556995350448334,2.830903926503716,SARS-CoV-2
22,3.599999999999999,1,36.948356149817734,663.2962998836898,8.119999476516115,25.156173943717604,2.5602586396995224,SARS-CoV-2
23,3.599999999999999,1,93.72991809387058,830.4590149344616,7.814721889544351,13.67641269371369,2.8038506594500285,SARS-CoV-2
24,3.599999999999999,1,55.243084056691075,763.4165102854151,7.931970142210645,16.44519131158693,2.334429761109277,SARS-CoV-2
25,3.599999999999999,1,41.24701374730088,539.2867445433128,8.357281291739525,12.166121992334752,2.691940166574799,SARS-CoV-2
26,3.599999999999999,1,56.70883313326647,822.9668320029449,7.830130063558859,13.21434025487058,2.5836825647872286,SARS-CoV-2
27,3.599999999999999,1,100.37203610034139,788.6051508521438,7.87901706418085,11.298717006819986,2.815083975792944,SARS-CoV-2
28,3.599999999999999,1,1830.9929130876687,870.7343911324284,6.821067531613406,6.397585534546544,2.7464477439772406,SARS-CoV-2
29,3.599999999999999,1,939.2860141402921,731.0401894896627,7.619218932477811,12.410513706376117,2.6656990200938804,SARS-CoV-2
30,3.599999999999999,1,30.28556366923537,736.7568850454066,7.989960310262339,13.725045055003223,2.625016610855844,SARS-CoV-2
31,3.599999999999999,1,66.89326634982628,689.255454261754,8.058737221855106,9.678162883897105,2.521353425284288,SARS-CoV-2
32,3.599999999999999,1,27.610312961985514,993.4141428925939,7.582437978585988,8.802435074681163,2.7430394547762127,SARS-CoV-2
33,3.599999999999999,1,275.4797248278233,778.927560147982,7.821424593446833,14.600419672511858,2.5814941875199158,SARS-CoV-2
34,3.599999999999999,1,156.98564769822642,861.4152399890988,7.692925276913325,5.152183326388912,2.675161016785748,SARS-CoV-2
35,3.599999999999999,1,165.79745522569235,833.1338851704522,7.773866013635951,9.488435166230026,2.6703234976960006,SARS-CoV-2
