Ab-35,T-35
402.1403691,158.2730913
52.13523905,336.3882613
43.21649745,369.2251683
31.611606,583.8729235
26.20382902,607.0872173
18.77189938,649.3520936
15.5606027,633.1807611
9.240342559,695.0969278
,805.4035624
,863.0759686
